year,state,state_ansi,crop,acres_harvested,acres_planted,production_dollars,production_bu,yield_buperacre
2025,ALABAMA,1,CORN,340000,350000,227392000,51680000,152
2025,ARIZONA,4,CORN,16000,65000,19642000,3168000,198
2025,ARKANSAS,5,CORN,790000,810000,603876000,143780000,182
2025,CALIFORNIA,6,CORN,50000,420000,40655000,8650000,173
2025,COLORADO,8,CORN,1250000,1500000,731500000,166250000,133
2025,CONNECTICUT,9,CORN,,23000,,,
2025,DELAWARE,10,CORN,172000,175000,144549000,32852000,191
2025,FLORIDA,12,CORN,57000,85000,43292000,8835000,155
2025,GEORGIA,13,CORN,500000,550000,458150000,93500000,187
2025,IDAHO,16,CORN,145000,430000,168193000,30305000,209
2025,ILLINOIS,17,CORN,11000000,11200000,9769100000,2354000000,214
2025,INDIANA,18,CORN,5230000,5400000,4587756000,1066920000,204
2025,IOWA,19,CORN,13200000,13550000,11365200000,2772000000,210
2025,KANSAS,20,CORN,6500000,6850000,3770000000,942500000,145
2025,KENTUCKY,21,CORN,1420000,1520000,1078987000,237140000,167
2025,LOUISIANA,22,CORN,790000,810000,632751000,152470000,193
2025,MAINE,23,CORN,,30000,,,
2025,MARYLAND,24,CORN,410000,460000,308484000,70110000,171
2025,MASSACHUSETTS,25,CORN,,14000,,,
2025,MICHIGAN,26,CORN,1980000,2350000,1374516000,352440000,178
2025,MINNESOTA,27,CORN,8450000,8900000,6708878000,1698450000,201
2025,MISSISSIPPI,28,CORN,870000,910000,649890000,156600000,180
2025,MISSOURI,29,CORN,3660000,3800000,2809965000,677100000,185
2025,MONTANA,30,CORN,75000,145000,36135000,9900000,132
2025,NEBRASKA,31,CORN,10450000,10750000,8311930000,2027300000,194
2025,NEVADA,32,CORN,,26000,,,
2025,NEW HAMPSHIRE,33,CORN,,12000,,,
2025,NEW JERSEY,34,CORN,66000,75000,50474000,10626000,161
2025,NEW MEXICO,35,CORN,44000,105000,39202000,7612000,173
2025,NEW YORK,36,CORN,450000,970000,302400000,63000000,140
2025,NORTH CAROLINA,37,CORN,910000,950000,622440000,131040000,144
2025,NORTH DAKOTA,38,CORN,4500000,4700000,2701800000,711000000,158
2025,OHIO,39,CORN,3160000,3400000,2484550000,584600000,185
2025,OKLAHOMA,40,CORN,495000,540000,259677000,60390000,122
2025,OREGON,41,CORN,75000,105000,82305000,17700000,236
2025,PENNSYLVANIA,42,CORN,680000,1010000,472328000,102680000,151
2025,RHODE ISLAND,44,CORN,,2000,,,
2025,SOUTH CAROLINA,45,CORN,370000,390000,239982000,51060000,138
2025,SOUTH DAKOTA,46,CORN,6350000,6850000,4126230000,1085850000,171
2025,TENNESSEE,47,CORN,865000,930000,616572000,140130000,162
2025,TEXAS,48,CORN,2140000,2500000,1328940000,288900000,135
2025,UTAH,49,CORN,33000,85000,29515000,5676000,172
2025,VERMONT,50,CORN,,95000,,,
2025,VIRGINIA,51,CORN,350000,470000,261660000,58800000,168
2025,WASHINGTON,53,CORN,110000,200000,132528000,27610000,251
2025,WEST VIRGINIA,54,CORN,30000,41000,20655000,4590000,153
2025,WISCONSIN,55,CORN,3220000,4150000,2451708000,605360000,188
2025,WYOMING,56,CORN,55000,85000,37483000,7975000,145
2025,ALABAMA,1,SOYBEANS,290000,295000,115884000,10730000,37
2025,ARKANSAS,5,SOYBEANS,2570000,2590000,1498310000,141350000,55
2025,DELAWARE,10,SOYBEANS,138000,140000,68296000,6762000,49
2025,GEORGIA,13,SOYBEANS,150000,155000,78645000,7350000,49
2025,ILLINOIS,17,SOYBEANS,10230000,10300000,6713438000,639375000,62.5
2025,INDIANA,18,SOYBEANS,5430000,5450000,3360084000,323085000,59.5
2025,IOWA,19,SOYBEANS,9380000,9450000,6075426000,595630000,63.5
2025,KANSAS,20,SOYBEANS,4050000,4100000,1954429000,196425000,48.5
2025,KENTUCKY,21,SOYBEANS,1790000,1800000,819462000,75180000,42
2025,LOUISIANA,22,SOYBEANS,770000,790000,436667000,41195000,53.5
2025,MARYLAND,24,SOYBEANS,460000,465000,204424000,20240000,44
2025,MICHIGAN,26,SOYBEANS,2070000,2080000,1044108000,100395000,48.5
2025,MINNESOTA,27,SOYBEANS,7070000,7150000,3674633000,371175000,52.5
2025,MISSISSIPPI,28,SOYBEANS,1790000,1810000,1072568000,100240000,56
2025,MISSOURI,29,SOYBEANS,5530000,5600000,2875600000,276500000,50
2025,NEBRASKA,31,SOYBEANS,4790000,4850000,3121763000,313745000,65.5
2025,NEW JERSEY,34,SOYBEANS,99000,100000,38996000,3861000,39
2025,NEW YORK,36,SOYBEANS,295000,310000,118000000,11800000,40
2025,NORTH CAROLINA,37,SOYBEANS,1610000,1630000,620172000,57960000,36
2025,NORTH DAKOTA,38,SOYBEANS,6490000,6550000,2160683000,223905000,34.5
2025,OHIO,39,SOYBEANS,4880000,4900000,2741584000,258640000,53
2025,OKLAHOMA,40,SOYBEANS,350000,365000,100993000,10150000,29
2025,PENNSYLVANIA,42,SOYBEANS,570000,580000,253308000,25080000,44
2025,SOUTH CAROLINA,45,SOYBEANS,355000,365000,117754000,11005000,31
2025,SOUTH DAKOTA,46,SOYBEANS,5060000,5100000,2283072000,237820000,47
2025,TENNESSEE,47,SOYBEANS,1520000,1550000,683088000,63840000,42
2025,TEXAS,48,SOYBEANS,90000,110000,27792000,2880000,32
2025,VIRGINIA,51,SOYBEANS,590000,600000,239894000,22420000,38
2025,WISCONSIN,55,SOYBEANS,2020000,2030000,1119888000,113120000,56
2025,ALABAMA,1,WHEAT,"60,000","110,000","22,791,000","4,260,000",71
2025,ARIZONA,4,WHEAT,"49,000","50,000","45,291,000","5,733,000",117
2025,ARKANSAS,5,WHEAT,"70,000","110,000","20,748,000","3,990,000",57
2025,CALIFORNIA,6,WHEAT,"124,000","305,000","66,607,000","11,210,000",90.4
2025,COLORADO,8,WHEAT,"1,870,000","2,100,000","309,111,000","71,060,000",38
2025,DELAWARE,10,WHEAT,"41,000","53,000","16,396,000","3,526,000",86
2025,GEORGIA,13,WHEAT,"65,000","165,000","22,308,000","4,290,000",66
2025,IDAHO,16,WHEAT,"1,140,000","1,215,000","550,512,000","106,560,000",93.5
2025,ILLINOIS,17,WHEAT,"700,000","780,000","311,080,000","61,600,000",88
2025,INDIANA,18,WHEAT,"240,000","320,000","113,208,000","21,360,000",89
2025,KANSAS,20,WHEAT,"6,800,000","7,300,000","1,595,280,000","346,800,000",51
2025,KENTUCKY,21,WHEAT,"330,000","490,000","147,015,000","26,730,000",81
2025,MARYLAND,24,WHEAT,"160,000","315,000","58,776,000","12,640,000",79
2025,MICHIGAN,26,WHEAT,"490,000","530,000","222,705,000","44,100,000",90
2025,MINNESOTA,27,WHEAT,"1,100,000","1,150,000","379,500,000","75,900,000",69
2025,MISSISSIPPI,28,WHEAT,"45,000","65,000","14,445,000","2,700,000",60
2025,MISSOURI,29,WHEAT,"460,000","640,000","191,360,000","36,800,000",80
2025,MONTANA,30,WHEAT,"4,920,000","5,290,000","918,898,000","181,690,000",36.9
2025,NEBRASKA,31,WHEAT,"805,000","950,000","164,582,000","37,835,000",47
2025,NEW MEXICO,35,WHEAT,"150,000","365,000","20,925,000","4,650,000",31
2025,NEW YORK,36,WHEAT,"110,000","150,000","46,470,000","7,810,000",71
2025,NORTH CAROLINA,37,WHEAT,"270,000","350,000","81,000,000","16,200,000",60
2025,NORTH DAKOTA,38,WHEAT,"6,325,000","6,430,000","1,743,252,000","334,055,000",52.8
2025,OHIO,39,WHEAT,"530,000","570,000","232,458,000","45,580,000",86
2025,OKLAHOMA,40,WHEAT,"2,800,000","4,150,000","500,080,000","106,400,000",38
2025,OREGON,41,WHEAT,"740,000","750,000","317,867,000","52,540,000",71
2025,PENNSYLVANIA,42,WHEAT,"185,000","260,000","65,268,000","13,320,000",72
2025,SOUTH CAROLINA,45,WHEAT,"60,000","80,000","18,000,000","3,600,000",60
2025,SOUTH DAKOTA,46,WHEAT,"1,270,000","1,460,000","295,500,000","64,140,000",50.5
2025,TENNESSEE,47,WHEAT,"265,000","345,000","102,953,000","19,610,000",74
2025,TEXAS,48,WHEAT,"2,300,000","5,500,000","399,970,000","85,100,000",37
2025,UTAH,49,WHEAT,"98,000","115,000","22,491,000","4,998,000",51
2025,VIRGINIA,51,WHEAT,"70,000","130,000","23,793,000","4,620,000",66
2025,WASHINGTON,53,WHEAT,"2,260,000","2,325,000","716,347,000","141,460,000",62.6
2025,WISCONSIN,55,WHEAT,"250,000","300,000","82,650,000","19,000,000",76
2025,WYOMING,56,WHEAT,"89,000","110,000","12,149,000","2,670,000",30
2024,ALABAMA,1,CORN,270000,280000,138499000,30240000,112
2024,ARIZONA,4,CORN,19000,70000,27873000,4275000,225
2024,ARKANSAS,5,CORN,480000,500000,408408000,89760000,187
2024,CALIFORNIA,6,CORN,55000,440000,56456000,10010000,182
2024,COLORADO,8,CORN,1180000,1460000,635123000,136880000,116
2024,CONNECTICUT,9,CORN,,24000,,,
2024,DELAWARE,10,CORN,161000,165000,129946000,27531000,171
2024,FLORIDA,12,CORN,47000,85000,32075000,6627000,141
2024,GEORGIA,13,CORN,305000,375000,248575000,49715000,163
2024,IDAHO,16,CORN,110000,380000,130975000,22660000,206
2024,ILLINOIS,17,CORN,10650000,10800000,9660189000,2311050000,217
2024,INDIANA,18,CORN,5050000,5200000,4319568000,999900000,198
2024,IOWA,19,CORN,12450000,12900000,11164538000,2626950000,211
2024,KANSAS,20,CORN,5800000,6300000,3202296000,748200000,129
2024,KENTUCKY,21,CORN,1280000,1370000,1036672000,227840000,178
