state,year,month,event_type,damage_property,damage_property_clean,damage_crops,damage_crops_clean
ILLINOIS,2015,September,Tornado,70000,70000,0,0
NEW HAMPSHIRE,2015,January,Winter Storm,0.00K,0,0.00K,0
NEW HAMPSHIRE,2015,January,Heavy Snow,0.00K,0,0.00K,0
NEW HAMPSHIRE,2015,January,Blizzard,0.00K,0,0.00K,0
NEW HAMPSHIRE,2015,February,Heavy Snow,0.00K,0,0.00K,0
NEW HAMPSHIRE,2015,February,Heavy Snow,0.00K,0,0.00K,0
NEW HAMPSHIRE,2015,February,Heavy Snow,0.00K,0,0.00K,0
GEORGIA,2015,September,Thunderstorm Wind,2.00K,2000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,14.00K,14000,0.00K,0
GEORGIA,2015,September,Thunderstorm Wind,2.00K,2000,0.00K,0
GEORGIA,2015,September,Thunderstorm Wind,3.00K,3000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,12.00K,12000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,3.00K,3000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,6.00K,6000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,4.00K,4000,0.00K,0
GEORGIA,2015,September,Thunderstorm Wind,8.00K,8000,0.00K,0
SOUTH CAROLINA,2015,September,Flash Flood,18.00K,18000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,16.00K,16000,0.00K,0
SOUTH CAROLINA,2015,September,Flash Flood,16.00K,16000,0.00K,0
SOUTH CAROLINA,2015,September,Thunderstorm Wind,1.00K,1000,0.00K,0
SOUTH CAROLINA,2015,September,Flash Flood,4.00K,4000,0.00K,0
SOUTH CAROLINA,2015,September,Flood,2.00K,2000,0.00K,0
SOUTH CAROLINA,2015,September,Flood,2.00K,2000,0.00K,0
SOUTH CAROLINA,2015,September,Flash Flood,18.00K,18000,0.00K,0
SOUTH CAROLINA,2015,September,Flood,62.00K,62000,0.00K,0
SOUTH CAROLINA,2015,September,Flood,16.00K,16000,0.00K,0
SOUTH CAROLINA,2015,September,Flash Flood,2.00K,2000,0.00K,0
SOUTH CAROLINA,2015,September,Flash Flood,2.00K,2000,0.00K,0
GULF OF MEXICO,2015,September,Waterspout,0.00K,0,0.00K,0
GULF OF MEXICO,2015,September,Waterspout,0.00K,0,0.00K,0
GULF OF MEXICO,2015,September,Waterspout,0.00K,0,0.00K,0
FLORIDA,2015,September,Thunderstorm Wind,1.50K,1500,0.00K,0
GULF OF MEXICO,2015,September,Waterspout,0.00K,0,0.00K,0
NEW YORK,2015,September,Thunderstorm Wind,5.00K,5000,0.00K,0
VERMONT,2015,September,Lightning,1.00K,1000,0.00K,0
VERMONT,2015,September,Thunderstorm Wind,1.00K,1000,0.00K,0
TENNESSEE,2015,September,Thunderstorm Wind,5.00K,5000,0.00K,0
TENNESSEE,2015,September,Thunderstorm Wind,2.00K,2000,0.00K,0
TENNESSEE,2015,September,Thunderstorm Wind,10.00K,10000,0.00K,0
TENNESSEE,2015,September,Lightning,25.00K,25000,0.00K,0
MONTANA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,18.00K,18000,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,,0,,0
OKLAHOMA,2015,September,Thunderstorm Wind,,0,,0
OKLAHOMA,2015,September,Thunderstorm Wind,0.50K,500,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,10.00K,10000,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,,0,,0
TEXAS,2015,September,Drought,,0,,0
TEXAS,2015,September,Drought,,0,,0
OKLAHOMA,2015,September,Thunderstorm Wind,1.00K,1000,0.00K,0
OKLAHOMA,2015,September,Thunderstorm Wind,,0,,0
TEXAS,2015,September,Drought,,0,,0
TEXAS,2015,September,Drought,,0,,0
TEXAS,2015,September,Drought,,0,,0
OKLAHOMA,2015,September,Thunderstorm Wind,,0,,0
TEXAS,2015,September,Drought,,0,,0
TEXAS,2015,September,Drought,,0,,0
NEBRASKA,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Thunderstorm Wind,5.00K,5000,0.00K,0
KANSAS,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,,0,,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
KANSAS,2015,September,Hail,0.00K,0,0.00K,0
NEBRASKA,2015,September,Thunderstorm Wind,0.00K,0,0.00K,0
NEW YORK,2015,September,Hail,,0,,0
NEW YORK,2015,September,Hail,,0,,0
NEW YORK,2015,September,Thunderstorm Wind,,0,,0
NEW YORK,2015,September,Thunderstorm Wind,,0,,0
NEW YORK,2015,September,Thunderstorm Wind,,0,,0
NEW YORK,2015,September,Thunderstorm Wind,,0,,0
NEW YORK,2015,September,Thunderstorm Wind,,0,,0
VERMONT,2015,September,Flood,10.00K,10000,0.00K,0
WYOMING,2015,September,Hail,0.00K,0,0.00K,0
FLORIDA,2015,September,Heavy Rain,0.00K,0,0.00K,0
NEW YORK,2015,September,Hail,,0,,0
NEW YORK,2015,September,Hail,,0,,0
MARYLAND,2015,September,Hail,,0,,0
MARYLAND,2015,September,Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,September,Waterspout,,0,,0
MARYLAND,2015,September,Thunderstorm Wind,3.00K,3000,,0
WEST VIRGINIA,2015,September,Thunderstorm Wind,1.00K,1000,,0
WEST VIRGINIA,2015,September,Thunderstorm Wind,2.00K,2000,,0
TENNESSEE,2015,December,Tornado,2.00M,2000000,500.00K,500000
TENNESSEE,2015,December,Tornado,0.00K,0,100.00K,100000
TENNESSEE,2015,December,Tornado,100.00K,100000,10.00K,10000
VIRGINIA,2015,October,Frost/Freeze,,0,,0
VIRGINIA,2015,October,Frost/Freeze,,0,,0
VIRGINIA,2015,October,Frost/Freeze,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
VIRGINIA,2015,October,Frost/Freeze,,0,,0
TENNESSEE,2015,December,Flash Flood,0.00K,0,0.00K,0
TENNESSEE,2015,December,Tornado,300.00K,300000,0.00K,0
TENNESSEE,2015,December,Thunderstorm Wind,1.00K,1000,0.00K,0
TENNESSEE,2015,December,Hail,0.00K,0,0.00K,0
TENNESSEE,2015,December,Thunderstorm Wind,3.00K,3000,0.00K,0
TENNESSEE,2015,December,Flash Flood,20.00K,20000,0.00K,0
TENNESSEE,2015,December,Thunderstorm Wind,10.00K,10000,0.00K,0
TENNESSEE,2015,December,Flood,0.00K,0,0.00K,0
TENNESSEE,2015,December,Flash Flood,0.00K,0,0.00K,0
TENNESSEE,2015,December,Flood,0.00K,0,0.00K,0
TENNESSEE,2015,December,Flash Flood,0.00K,0,0.00K,0
TENNESSEE,2015,December,Flood,0.00K,0,0.00K,0
TENNESSEE,2015,December,Tornado,50.00K,50000,0.00K,0
TENNESSEE,2015,December,Flood,0.00K,0,0.00K,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
MARYLAND,2015,October,Dense Fog,,0,,0
MARYLAND,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
MARYLAND,2015,October,Dense Fog,,0,,0
MARYLAND,2015,October,Dense Fog,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
ATLANTIC NORTH,2015,October,Marine Thunderstorm Wind,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
VIRGINIA,2015,October,Dense Fog,,0,,0
WEST VIRGINIA,2015,October,Dense Fog,,0,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Hail,5.00K,5000,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,0.10K,100,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
COLORADO,2015,February,Winter Storm,0.00K,0,0.00K,0
COLORADO,2015,February,Heavy Snow,0.00K,0,0.00K,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Hail,5.00K,5000,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,0.00K,0,0.00K,0
COLORADO,2015,February,Winter Storm,0.00K,0,0.00K,0
COLORADO,2015,February,Heavy Snow,0.00K,0,0.00K,0
COLORADO,2015,February,Winter Weather,0.00K,0,0.00K,0
COLORADO,2015,February,Winter Storm,0.00K,0,0.00K,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Thunderstorm Wind,10.00K,10000,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,0.50K,500,,0
KANSAS,2015,April,Hail,,0,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Thunderstorm Wind,10.00K,10000,,0
KANSAS,2015,April,Thunderstorm Wind,20.00K,20000,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
KANSAS,2015,April,Thunderstorm Wind,,0,,0
ALASKA,2015,December,High Wind,0.00K,0,0.00K,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
TEXAS,2015,March,Winter Weather,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
COLORADO,2015,June,Hail,0.00K,0,0.00K,0
COLORADO,2015,June,Hail,0.00K,0,0.00K,0
OKLAHOMA,2015,March,Drought,,0,,0
OKLAHOMA,2015,March,Drought,,0,,0
